epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.925,1.86746,1.61057,1.21692,0.72632,0.41868,0.47678,0.23003,1.65864,1.04761,1.09657,0.00333126,0.00333126,0.00333126
2,529.428,1.68905,1.10705,1.09681,0.75763,0.44774,0.50669,0.25261,1.60567,0.92578,1.08985,0.00659862,0.00659862,0.00659862
3,762.727,1.70489,1.06445,1.09497,0.75305,0.44517,0.50544,0.2541,1.58781,0.93561,1.0927,0.00979997,0.00979997,0.00979997
1,179.549,1.98526,1.59928,1.18968,0.69692,0.32774,0.36747,0.17672,1.7258,1.06445,1.05525,0.00333126,0.00333126,0.00333126
2,354.063,1.79829,1.14559,1.07242,0.69375,0.33926,0.38015,0.18475,1.69933,1.00566,1.03946,0.00653264,0.00653264,0.00653264
3,530.266,1.80833,1.11715,1.07064,0.70352,0.34581,0.38897,0.18798,1.695,0.97386,1.05479,0.00960201,0.00960201,0.00960201
4,721.92,1.79962,1.09073,1.06644,0.69736,0.35042,0.3975,0.19369,1.66781,0.93371,1.04675,0.009406,0.009406,0.009406
5,889.711,1.73947,1.01902,1.05148,0.71804,0.36736,0.42027,0.20979,1.61194,0.85884,1.02414,0.009208,0.009208,0.009208
6,1046.49,1.69837,0.98346,1.04064,0.73326,0.37172,0.42809,0.21432,1.58906,0.84977,1.01593,0.00901,0.00901,0.00901
7,1203.7,1.67535,0.95358,1.02898,0.73637,0.37666,0.43889,0.22232,1.57526,0.83676,1.01508,0.008812,0.008812,0.008812
8,1360.16,1.67117,0.9369,1.02706,0.72602,0.3842,0.43956,0.22176,1.5602,0.82973,1.00625,0.008614,0.008614,0.008614
9,1521.73,1.63553,0.913,1.01765,0.74061,0.39254,0.45272,0.23128,1.53464,0.79922,1.00554,0.008416,0.008416,0.008416
10,1679.14,1.61989,0.90105,1.01482,0.75069,0.39735,0.46211,0.23612,1.53267,0.78883,1.00179,0.008218,0.008218,0.008218
11,1835.2,1.60331,0.8826,1.01393,0.75194,0.3967,0.46197,0.23945,1.51718,0.77856,0.99526,0.00802,0.00802,0.00802
12,1991.79,1.59685,0.87949,1.00989,0.76264,0.40499,0.4662,0.24003,1.50294,0.75973,0.99154,0.007822,0.007822,0.007822
13,2154.03,1.58888,0.86289,1.00495,0.74852,0.40113,0.46517,0.23981,1.50524,0.76056,0.99,0.007624,0.007624,0.007624
14,2310.47,1.56946,0.85175,1.0001,0.76606,0.41187,0.47279,0.24107,1.49689,0.7441,0.98883,0.007426,0.007426,0.007426
15,2464.91,1.56272,0.84307,0.99695,0.77166,0.41424,0.47519,0.24484,1.48929,0.74192,0.98972,0.007228,0.007228,0.007228
16,2622.92,1.554,0.83555,1,0.76159,0.41303,0.47336,0.24342,1.48894,0.74578,0.98379,0.00703,0.00703,0.00703
