epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.46,0,0.44563,0,0,0,0,0,0,0,0,0.0700186,0.00333126,0.00333126
2,350.562,0,0,0,0,0,0,0,0,0,0,0.0398867,0.00653264,0.00653264
3,512.894,0,0,0,0,0,0,0,0,0,0,0.00962272,0.00960201,0.00960201
4,672.031,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
5,832.656,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
6,992.817,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
7,1158.73,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
8,1329.99,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
9,1488.42,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
10,1642.15,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
11,1796.78,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
12,1947.41,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
13,2096.8,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
14,2246.39,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
15,2397.46,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
16,2546.66,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
17,2699.8,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
18,2847.29,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
19,2997.75,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
20,3147.77,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
21,3296.51,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
22,3442.65,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
23,3588.57,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
24,3744.73,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
25,3893.85,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
26,4044.12,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
27,4196.04,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
28,4345.79,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
29,4492.79,0,0,0,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
30,4640.97,0,0,0,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
31,4788.65,0,0,0,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
32,4939.26,0,0,0,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
33,5088.04,0,0,0,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
34,5235.56,0,0,0,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
35,5383.16,0,0,0,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
36,5529.71,0,0,0,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
37,5674.32,0,0,0,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
38,5823.68,0,0,0,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
39,5971.26,0,0,0,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
40,6116.54,0,0,0,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
41,6286.15,0,0,0,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
42,6431.17,0,0,0,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
43,6577.63,0,0,0,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
44,6723.52,0,0,0,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
45,6870.07,0,0,0,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
46,7017.08,0,0,0,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
47,7163.94,0,0,0,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
48,7314.15,0,0,0,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
49,7461.96,0,0,0,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
50,7610.88,0,0,0,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
